id,published,title,views,unique_views,downloads,unique_downloads
21504393,2026-07-23,"Utilitarismus 404 | The Sealed Room and the Open Door: What Four Preprints Prove About Ethics, Power, and Machines",14,8,0,0
21499482,2026-07-22,"Good Bye, Lenin v3.0: The Thermodynamic and Geometrical Fallacy of Realpolitik, from the Balance of Power to the Grand Chessboard | Utilitarismus 404, Part II/IV",20,13,7,6
21498741,2026-07-22,"Red Team v1.0: An Adversarial Audit of the Open Architecture — Sixteen Attacks, the Extension Algorithm, and the Fiducial Axioms of Materialism | Utilitarismus 404, Part IV/IV",9,8,0,0
21498665,2026-07-22,"Hello, World v1.0: The Consistency of the Open System — A Positive Axiomatics for the Person, Synergy, and Grace | Utilitarismus 404, Part III/IV",9,8,0,0
21498358,2026-07-22,"The Bankruptcy of Trolley Calculus: Why the Utilitarian Arithmetic of Persons Is Formally Incoherent | Utilitarismus 404, Part I/IV",11,8,0,0
21493976,2026-07-22,CogOS: From Gödel to AGI,690,574,682,540
20930754,2026-06-26,Opa-Collective/SVE-Systemic-Verification-Engineering: SVE-Unicorns-Patch-v1.0,19,15,0,0
20752588,2026-06-18,David vs. GOLIATH 2: Spiritual-Intellectual Boxing — A Socratic Audit of AI Narrative Enforcement and the Birth of the CGS Method,19,15,3,3
20512792,2026-06-02,"ADAM-PentaD (QNexus): A Sovereign Complex-Spectral Wavefront Accelerator with Clifford-Algebra Compiler for Cognitively-Immune LLM Inference | [RESEARCH ***HYPOTHESIS***] | [wAI~wErrors, please focus on the ""vector""=vision] | [NO HDL --- ONLY CONCEPT]",196,142,298,196
19653869,2026-04-19,Attention is ALL you need 2: From NN Weight to HS Fate,187,137,136,88
19456717,2026-04-07,"VKB-Training: Epistemic Metadata, Ontology Attention, and Cultural Compilers for Hallucination Reduction in Large Language Models",105,82,85,52
19373737,2026-04-01,"Systemic Verification Engineering: A Meta-Licensing Framework for Truth, Reproducibility, and Ethical Enforcement",50,38,55,39
19371184,2026-04-01,skovnats/SVE-Systemic-Verification-Engineering: SVE-Meta-License-v4.0,79,75,9,9
19322869,2026-03-29,FSIM: Fractal Semantic-Intellectual Matryoshka — A Formal Framework for Ontological Verification via Sincerity-Grounded Self-Referential Structures,21,19,11,11
19313271,2026-03-29,The High Priests Axiom: Systemic Verification Engineering Applied to the Trial of Jesus,52,44,37,25
18882037,2026-03-05,Who Watches the Watchmen?,53,44,29,17
18881994,2026-03-05,The Cauchy-Gödel-Socrates (CGS) Method: A Formal Protocol for Recursive Logical Auditing of Large Language Models.,223,210,133,124
18329048,2026-01-21,2026 Pre-Art: CogOS Framework and SVE Research Protocols (SVE License v1.3+) [WIP],120,111,84,74
18325387,2026-01-21,Epistemological Gymnasium [WIP],32,27,16,13
18262545,2026-01-15,The Ultimate Trolley Problem: Which Ethical Kernel Survives Generations?,286,239,342,316
18109245,2025-12-31,S.V.E. XII: The SYSTEM,86,84,106,99
18109199,2025-12-31,S.V.E. XI: The Ox's Weights,71,68,26,23
18109172,2025-12-31,S.V.E. X: Cognitive Operating Systems for LLMs,16,15,17,14
18109126,2025-12-31,S.V.E. IX: Systemic Verification Engineering,17,17,12,11
18109077,2025-12-31,S.V.E. VIII: Provisional Ontology for Verifiable Ethics and Knowledge,36,35,12,12
18109041,2025-12-31,S.V.E. VII: Hybrid Models of State Structure,15,14,10,8
18109012,2025-12-31,S.V.E. VI: The Protocol for Cognitive Sovereignty,18,16,12,11
18108975,2025-12-31,S.V.E. V: An Operating System for Verifiable Democracy,64,63,40,39
18108946,2025-12-31,S.V.E. IV: The Beacon Protocol,25,25,17,16
18108907,2025-12-31,S.V.E. III: The Protocol for Academic Integrity,14,13,11,9
18108863,2025-12-31,S.V.E. II: The Architecture of Verifiable Truth,19,17,13,10
18108823,2025-12-31,S.V.E. I: The Theorem of Systemic Failure,40,38,28,27
18108751,2025-12-31,S.V.E. 0 (2): The Socratic Investigative Process (SIP),58,55,32,30
18108307,2025-12-31,S.V.E. 0 (1): The Epistemological Boxing Protocol,32,30,24,21
