Region,Country,Indicator I,Priority candidate (I),Indicator II,Gate (Indicator III),Effective Indicator I,Effective Indicator II,Note (Indicator I)
Africa,Algeria,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,The 2020 constitution's entrenched provisions concern presidential term limits — no equality clause is entrenched.
Africa,Angola,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 23 of the 2010 Constitution uses universal wording ('Everyone shall be equal under the Constitution and by law,' with a non-discrimination list covering ancestry, race, ethnicity, religion, etc.), satisfying the universality prong. However, no article listing permanently unamendable ('eternity clause') provisions was located in this pass — Art. 58(5) only bars suspension of certain rights during a state of emergency, which is a different (narrower, temporary) protection than entrenchment against amendment. Entrenchment status of Art. 23 is therefore unconfirmed."
Africa,Benin,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 26 of the 1990 Constitution (rev. 2019) guarantees equality to 'everyone' without distinction of origin, race, sex, religion, political opinion or social position — universal wording. But the entrenchment clause, Art. 156, protects only territorial integrity, the republican form of government, and secularism from revision; equality is not on that list and remains amendable via the ordinary/qualified-majority revision procedure."
Africa,Botswana,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Section 15 of the Constitution (1966, rev.) protects 'no person' from discrimination on grounds of race, tribe, place of origin, political opinions, colour, creed or sex — phrased universally rather than citizens-only. No provision was found that is completely unamendable; Botswana's amendment scheme distinguishes ordinary, 'entrenched,' and 'specially entrenched' sections, the latter requiring a national referendum — a demanding but existing domestic path. Whether Section 15 itself falls in the specially-entrenched tier was not confirmed."
Africa,Burkina Faso,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"The exact article and wording of Burkina Faso's general equality clause were not confirmed in this pass. Art. 165 bars revision only of presidential term limits, the republican form of the state, the multiparty system, and territorial integrity — not equality. Burkina Faso has also been under a military transitional charter since the 2022 coup, so the 1991 Constitution's ordinary framework is not currently the operative constitutional order."
Africa,Burundi,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 22 of the 2018 Constitution states 'All citizens are equal before the law' — citizens-only wording, failing the universality prong regardless of entrenchment. No explicit unamendable-provisions list covering this article was found."
Africa,Cabo Verde,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Arts. 1(2) and 22 of the Constitution (1980, rev. 1992) both guarantee equality specifically to 'all citizens' — citizens-only, failing the universality prong. No permanent amendment-entrenchment clause was found; Art. 108(3) only bars certain rights-related matters from popular referendum, leaving the ordinary parliamentary revision route open."
Africa,Cameroon,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"The Preamble (Principle 1) of the 1972 Constitution (rev. 2008) states 'all persons shall have equal rights and obligations' — universal wording, though it sits in the Preamble rather than a numbered rights article. Art. 64 bars amendments affecting the republican form, national unity, territorial integrity, and 'democratic principles' — not equality — so the principle remains amendable through ordinary revision."
Africa,Central African Republic,UNKNOWN,Yes,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 6 of the 2016 Constitution states 'All human beings are equal before the law without distinction of race, of ethnic origin, of region, of sex, of religion, of political affiliation and of social position' — squarely universal wording. Art. 153 lists unamendable matters including (per the English rendering found) 'fundamental rights of citizens.' Flagged only tentatively: whether that entrenched phrase is a translation artifact for the broader human-rights chapter containing Art. 6, or genuinely narrower, needs resolution against the authoritative French text before any TRUE conclusion could be considered; remains UNKNOWN."
Africa,Chad,UNKNOWN,Yes,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 14 of the 2018 Constitution provides 'The State assures to all equality before the law without distinction of origin, of race, of sex, of religion, of political opinion or of social position' — universal wording. Art. 227 bars revision of, among other things, 'the freedoms and fundamental rights of the citizen.' As with CAR, the entrenched clause is phrased around 'the citizen' while Art. 14 itself is universal — an unresolved mismatch kept at UNKNOWN pending closer French-original review."
Africa,Comoros,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 2 of the 2018 Constitution recognizes 'the equality of all citizens before the law' — citizens-only wording, failing the universality prong. Art. 115's entrenchment clause protects only territorial unity and internationally recognized borders, not equality."
Africa,"Congo, Republic of the",UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 15 of the 2015 Constitution states 'All Congolese citizens are equal before the law' — citizens-only wording, failing the universality prong. Art. 240 entrenches only the republican form and secular character of the state against revision, not equality."
Africa,"Congo, Democratic Republic of the",UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 11 ('All human beings are born free and equal in dignity and in rights,' UDHR-echoing, universal) sits alongside Art. 12 ('All Congolese are equal before the law,' citizens-only). Art. 220's entrenchment list protects the republican form, universal suffrage, representative government, presidential term limits, judicial independence, and pluralism, but not human rights or equality provisions; both articles remain amendable via the ordinary revision procedure."
Africa,Djibouti,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Djibouti's 1992 Constitution (rev. 2010) has unusually strong universal wording in two places: Art. 1 and Art. 10 ('All human beings are equal before the law'). However, Art. 92's entrenchment clause protects only the existence of the state, territorial integrity, the republican form of government, and pluralist democracy — equality is not among the protected topics."
Africa,Egypt,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 53 of the 2014 Constitution (rev. 2019) states 'Citizens are equal before the law' — citizens-only wording, which fails the universality prong regardless of entrenchment strength. Art. 226 contains an unusual one-way ratchet ('the principles of freedom and equality' may not be amended unless the amendment brings more guarantees) — one of the stronger entrenchment mechanisms found — but Egypt is disqualified by Art. 53's citizens-only phrasing."
Africa,Equatorial Guinea,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"No clear universal 'all persons equal before the law' principle was located in this pass (Art. 13(3) addresses gender equality for citizens; Art. 15(1) punishes discriminatory acts based on tribe, ethnicity, gender, religion). Art. 134 entrenches only the republican/democratic regime, national unity, and territorial integrity — not equality."
Africa,Eritrea,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 14.1 of the 1997 Constitution states 'All persons are equal under the law' — universal wording — and Art. 26.3 lists it among non-derogable rights during emergencies (a non-derogation clause, not entrenchment against amendment). Critically, the 1997 Constitution was ratified but never brought into force — Eritrea has been governed by proclamation without an operative constitution since independence — so this text is of doubtful practical relevance."
Africa,Eswatini,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Section 20 of the 2005 Constitution states 'All persons are equal before and under the law' — universal wording with a broad protected-grounds list. Section 38 lists equality among non-derogable emergency rights (again non-derogation, not entrenchment). The full amendment chapter was not reviewed in this pass, so entrenchment status is unconfirmed; Eswatini also remains an absolute monarchy in practice, a relevant contextual caveat."
Africa,Ethiopia,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 25 of the 1995 Constitution states 'All persons are equal before the law' — universal wording. The amendment procedure (Arts. 104-105) was confirmed to apply even to Chapter Three fundamental rights: it requires majority approval in all State Councils plus two-thirds in both federal Houses — a difficult, but existing, domestic path."
Africa,Gabon,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 2 of the 1991 Constitution (rev. 2011) states the Republic 'assures equality for all citizens before the law' — citizens-only wording, failing the universality prong. Art. 117 entrenches only the republican, pluralist, and democratic character of the state, not equality."
Africa,Gambia,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Section 33(1) of the 1997 Constitution (rev. 2018) states 'All persons shall be equal before the law' — universal wording with a broad non-discrimination list. Section 226 is understood (per secondary sources) to entrench the Bill of Rights via supermajority-plus-referendum — a demanding but existing domestic path, disqualifying Section 33 from absolute unamendability."
Africa,Ghana,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Arts. 12(2) and 17(2) of the 1992 Constitution use universal wording. Art. 290 confirms Chapter 5 (Fundamental Human Rights, including these articles) is among 19 'entrenched provisions,' but entrenchment here means amendment requires a demanding referendum (≥40% turnout, ≥75% approval) — a real, if very hard, domestic path that disqualifies Ghana from TRUE."
Africa,Guinea,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 8 of the 2010 Constitution states 'All human beings are equal before the law' — universal wording. Art. 154 entrenches the republican form, secularism, unity, separation of powers, pluralism, and presidential term limits, but not equality or the rights chapter. Guinea's 2010 Constitution has also been suspended since the September 2021 coup, under a military transitional charter."
Africa,Guinea-Bissau,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 24 of the 1984 Constitution (rev. 1996) states 'All citizens are equal before the law' — citizens-only wording, failing the universality prong. Art. 130's entrenchment list does include 'citizen rights and liberties,' the strongest rights-entrenchment language found in the survey — but since Art. 24 is citizens-only, this still fails prong (a)."
Africa,Ivory Coast (Côte d'Ivoire),UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 4 of the 2016 Constitution states 'All Ivoirians are born and remain free and equal in rights' — nationality-based, not 'all human beings,' failing the universality prong despite UDHR-style phrasing. Art. 178 entrenches only the republican form and secularism of the state — equality is not protected in any event."
Africa,Kenya,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 27(1) of the 2010 Constitution states 'Every person is equal before the law and has the right to equal protection and equal benefit of the law' — strongly universal wording, among the best-worded in the survey. However, Art. 255(1)(e) requires the Bill of Rights (including Art. 27) to be amended only via national referendum — a demanding but real, existing domestic procedure, which disqualifies Kenya from TRUE despite the strong wording."
Africa,Lesotho,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Section 19 states 'Every person shall be entitled to equality before the law and to the equal protection of the law' (universal wording), reinforced by the Section 18 non-discrimination list. Lesotho distinguishes ordinary bills from 'specially entrenched' provisions (believed centered on Section 85), but the full text and whether Section 19 itself sits in an entrenched tier could not be retrieved in this pass — entrenchment status is unconfirmed."
Africa,Liberia,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 11(2)-(3) guarantees 'All persons are equal before the law' — universal wording. Amendment is governed by Article 91 (two-thirds of both houses or a 10,000-signature petition, then referendum); the one entrenched provision found, Article 93, only restricts when presidential term-limit amendments take effect and does not cover the equality clause."
Africa,Libya,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Libya has no single ratified, stable permanent constitution in force: it has operated since 2011 under a repeatedly amended interim Constitutional Declaration, with a 2017 draft permanent constitution never adopted and rival authorities contesting the constitutional order. No meaningful entrenchment analysis of an equality clause is currently possible."
Africa,Madagascar,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 6 provides 'All individuals are equal before the law... without discrimination founded on gender, level of instruction, wealth, origin, religious belief or opinion' — universal wording. The constitutional-revision articles were not retrievable in this pass, so whether any entrenched/eternity clause exists, and whether Article 6 falls within it, is unconfirmed."
Africa,Malawi,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Section 20 guarantees 'all persons... equal and effective protection against discrimination' on grounds including race, religion, and national/ethnic/social origin — universal wording. The amendment chapter (believed centered on Section 196) could not be retrieved in full, so specific entrenchment mechanics are unconfirmed."
Africa,Mali,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 1 states 'All Malians are born and remain free and equal in rights and duties' — citizen-limited wording, not universal personhood. Amendment requires a two-thirds vote in both chambers plus a referendum (Art. 184); Article 185's eternity clause protects only the republican form, secularism, term limits, and multipartyism — not the equality clause."
Africa,Mauritania,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 1 limits the equality guarantee to 'citizens.' Amendment runs through Articles 99-101; the Article 99 eternity clause protects territorial integrity, republican form, pluralist democracy, alternation of power and the presidential term limit — not the equality clause, which appears ordinarily amendable."
Africa,Mauritius,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Section 16 protects 'no person' from discriminatory treatment — universal wording. Unusually, Section 47(2) requires a three-quarters supermajority to amend Chapter II (Fundamental Rights, containing Section 16), giving it unusually strong institutional protection — but that supermajority path still exists, so it fails the 'no path whatsoever' requirement."
Africa,Morocco,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,Entrenched provisions concern Islam's constitutional role and the monarchy — no universal equality-by-birth clause is entrenched.
Africa,Mozambique,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 35 limits the equality guarantee to 'All citizens' — citizen-limited rather than universal. The amendment framework (Art. 285/292) could not be fully verified, so whether Article 35 is entrenched is unconfirmed; the citizen-limited wording would likely disqualify it from TRUE regardless."
Africa,Namibia,UNKNOWN,Yes,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Art. 8 (dignity) and Art. 10(1) (""All persons shall be equal before the law"") sit in Chapter 3, which Art. 131 bars from any diminishing repeal or amendment ""under this Constitution"" — wording unusually close to absolute, and phrased for ""all persons,"" not citizens. The closest fit identified in this pass. Open question per §6.9.13: whether a wholly new constituent process outside ""this Constitution"" remains a domestic path around Art. 131 — a question comparative-law scholarship treats as genuinely unsettled for essentially every eternity clause, not one specific to Namibia. **Not asserted TRUE.** Requires a formal §6.9.8 dossier and review by qualified Namibian counsel."
Africa,Niger,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 8 assures 'all equality before the law without distinction of sex, or of social, racial, ethnic or religious origin' — universal wording. Amendment requires supermajorities under Articles 173-174; Article 175's eternity clause protects the republican form, multiparty system, and separation of state and religion — the general equality clause is not among the protected items."
Africa,Nigeria,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Section 42 limits the equality/non-discrimination guarantee to 'a citizen of Nigeria' — citizen-limited, not universal. Chapter IV (including Section 42) requires four-fifths of each National Assembly house plus two-thirds of State Houses of Assembly to amend — a strong but still-existing domestic amendment path."
Africa,Rwanda,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 15 states 'All persons are equal before the law,' and Article 16 adds an unusually comprehensive non-discrimination list explicitly including 'ancestry' — among the most textually favorable clauses found. However, the amendment/entrenchment provisions could not be reliably retrieved or confirmed in this pass, so entrenchment status remains genuinely unconfirmed."
Africa,Sao Tome and Principe,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 15 limits the equality clause to 'All citizens' — citizen-limited, not universal personhood. Article 154 lists nine unrevisable matters including 'citizens' rights and freedoms,' which could arguably extend to Article 15, though the clause itself remains citizen-limited wording."
Africa,Senegal,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 1 limits equality to 'all the citizens,' but Article 7 separately states 'All human beings are equal before the law' — genuinely universal wording, one of the stronger cases found. However, Article 103's eternity clause protects only the republican form, mode of presidential election, and term limits/duration — Article 7 is not on that list and is amendable via the ordinary procedure."
Africa,Seychelles,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 27 provides 'Every person has a right to equal protection of the law... without discrimination on any ground' — universal, open-ended wording. The amendment procedure (believed centered on Article 91) could not be retrieved in this pass, so entrenchment status is unconfirmed."
Africa,Sierra Leone,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Section 27 protects 'no person' from discriminatory treatment (universal), while Section 8(2)(a) separately frames it as 'every citizen shall have equality of rights' (citizen-limited) — mixed signals on scope. The amendment chapter was not retrievable in this pass, so the entrenchment procedure and whether either provision is protected remain unconfirmed."
Africa,Somalia,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 11's primary clause is citizen-limited ('All citizens... shall have equal rights'), though it separately requires government non-discrimination on a broad list including ethnicity, tribe, religion and birth. Specific amendment-majority requirements and any entrenched provisions could not be confirmed; Somalia's constitution also remains formally provisional/under ongoing review."
Africa,South Africa,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"s.9 (""everyone is equal before the law"") and s.10 (""everyone has inherent dignity"") use fully universal wording, among the strongest found anywhere — but amendment requires only a 75% National Assembly + 6-province vote (s.74), an extraordinarily high but real domestic path, not an absolute bar. Fails §6.9.2(b)'s ""cannot be touched by any procedure"" test."
Africa,South Sudan,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 48 of the 2011 Transitional Constitution states 'People are equal before the law... without discrimination... on the basis of ethnicity, colour, gender, language, religious faith, political opinion, racial or ethnic origin' — universal, comprehensive wording. Amendment under Article 67 requires only a two-thirds legislative majority with no referendum or entrenchment requirement found — more easily amendable than most peer constitutions. South Sudan's promised permanent constitution remains unfinished as of 2026."
Africa,Sudan,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"The 2019 transitional charter contains a similarly worded Article 48, amendable via two-thirds of the Transitional Legislative Council with no eternity clause identified. More fundamentally, Sudan's constitutional order has been disrupted by the October 2021 military takeover and the civil war ongoing since April 2023, so there is currently no stable, functioning constitutional document to assess."
Africa,Tanzania,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 13(1) states 'All persons are equal before the law' — universal wording, confirmed from the official text. Amendment is governed by Article 98 and the Second Schedule (two-thirds thresholds); Article 13 was not identified as falling within either entrenched list, so it appears amendable through the ordinary procedure."
Africa,Togo,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 2 assures 'the equality before the law of all citizens' — citizen-limited, not universal personhood. Amendment (Art. 144) requires a four-fifths majority or two-thirds plus referendum; the eternity clause protects only the republican form and secular character of the state — not equality."
Africa,Tunisia,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Articles 19 and 23 frame equality in terms of 'citizens' — citizen-limited. Amendment (Arts. 136-137) requires a two-thirds vote across two readings or referendum; Article 136's eternity clause protects only the republican system and term limits. Article 55 offers some broader protection against 'prejudicing the gains and freedoms of human rights,' but this is not an absolute eternity clause for the equality article specifically."
Africa,Uganda,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 21 states 'All persons are equal before and under the law' — universal wording. Uganda's amendment scheme has an ordinary tier, a two-thirds tier (Art. 259), and a 'particularly entrenched' tier requiring both two-thirds and a national referendum (Art. 260); whether Article 21 falls in the referendum-entrenched tier could not be confirmed with a specific citation, a genuine research gap."
Africa,Zambia,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 23 protects 'no person' from discriminatory treatment — universal wording, phrased as non-discrimination. Amendments to Part III (Bill of Rights, containing Article 23) require a national referendum with at least 50% of registered voters' support — strong entrenchment, but still an existing domestic path."
Africa,Zimbabwe,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Section 56 states 'All persons are equal before the law' — universal wording with an extensive protected-grounds list. The amendment procedure for the Declaration of Rights chapter (believed to require a two-thirds vote plus national referendum) could not be retrieved in full, so specific entrenchment mechanics for Section 56 are unconfirmed rather than assumed."
Asia,Afghanistan,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"The 2004 constitution (whose current force is itself unsettled given events since 2021, which are outside the scope of this table) entrenched only Islam's constitutional role and republican form; its equality clause (Art. 22) was explicitly citizens-only (""citizens of Afghanistan, man and woman, have equal rights"") and was not entrenched in any event."
Asia,Armenia,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 28 grants equality before the law to 'everyone,' and Article 29 bars discrimination on grounds including ethnic/social origin, national-minority status, birth, and religion. Article 80 states the 'essence' of Chapter 2's fundamental-rights provisions (including Arts. 28-29) 'shall be inviolable' — an unusual eternity-style clause — but Chapter 2 can still be amended via constitutional referendum, and nothing bars a referendum from first narrowing Article 80 itself, so a domestic path remains open."
Asia,Azerbaijan,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 25 grants equality before the law to 'everyone,' with a broad grounds list. Article 71(5) states no constitutional provision 'may be used to abolish human rights and civil liberties,' but this reads as an interpretive/anti-abuse rule rather than a formal bar on amendment, and the constitution is amendable by referendum under Article 3."
Asia,Bahrain,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 18 says 'people are equal in human dignity,' but the operative before-the-law equality guarantee is limited to 'citizens.' Article 120(3)-(4) entrenches the monarchy, succession, and 'the principles of freedom and equality,' but since the underlying clause is citizens-only, this entrenchment doesn't satisfy the test."
Asia,Bangladesh,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 27 limits equality before the law to 'citizens,' and Article 28 lists only religion, race, caste, sex and place of birth as prohibited grounds. Article 7B is one of the strongest entrenchment clauses anywhere, barring amendment of Parts I-III (including Arts. 27-28) — but because the protected clause is citizens-only, this near-total entrenchment does not satisfy the universal-wording prong."
Asia,Bhutan,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 7 states 'All persons are equal before the law' — reasonably universal wording. No eternity clause protects this article; amendment uses the ordinary two-thirds joint-sitting procedure, with only monarchy-status matters requiring a referendum."
Asia,Brunei,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"The 1959 Constitution (as amended) contains no general equality-before-the-law clause at all. Article 85(1) additionally lets the Sultan amend 'any of the provisions of this Constitution including this Article' by proclamation, so nothing — including the amendment power itself — is entrenched. Fails both prongs clearly."
Asia,Cambodia,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 31 limits equality before the law to 'Khmer citizens' — failing the 'all persons' requirement. Articles 17 and 153 entrench the constitutional-monarchy system and multiparty democracy against amendment, but not the (citizens-only) equality clause."
Asia,China,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 33 limits equality before the law to 'citizens'; Article 4 separately guarantees equality 'of all nationalities' as groups, not universal personhood. No eternity clause exists — amendments require only a two-thirds NPC majority, and the constitution has been amended repeatedly."
Asia,Cyprus,UNKNOWN,Yes,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 28(1)-(2) is unusually strong: 'All persons are equal before the law, the administration and justice' with a broad grounds list including birth — squarely universal wording. Cyprus also has one of the strongest formal entrenchment mechanisms found: Article 182 declares 48 'basic articles' (Annex III) outside the amendment power altogether. Whether Article 28 itself is among those 48 protected basic articles could not be confirmed in this pass — flagged as the strongest structural candidate found, but UNKNOWN pending that confirmation."
Asia,Georgia,UNKNOWN,,UNKNOWN,PASSING,UNKNOWN,UNKNOWN,"Article 11(1) grants equality before the law to 'all persons' (not citizens-only) with a broad grounds list — strong universal wording. No eternity clause or entrenched-provisions chapter was found; amendments, including to the human-rights chapter, require only a two-thirds parliamentary majority, leaving an ordinary domestic amendment path open."
